ID	Tratamiento	Nido	T_ing_min	No_Pau	P0	Pf	DP_mg	DP_rel	Motivacion
0314 N4B8H1	B8	N4	0.0015	1	12.8	12.8	0	0	Baja
0314 N4B8H2	B8	N4	0.001667	1	6.2	6.2	0	0	Baja
0314 N4B8H3	B8	N4	0.001417	1	7.3	7.2	-0.1	-1.369863014	Baja
0314 N4B8H4	B8	N4	0.001333	1	4.7	4.7	0	0	Baja
0314 N4B8H5	B8	N4	0.010283	1	14.1	14.1	0	0	Baja
0314 N4B0H1	B0	N4	0.69295	2	5.3	7.3	2	37.73584906	Baja
0314 N4B0H2	B0	N4	0.6162	1	5.2	6.8	1.6	30.76923077	Baja
0314 N4B0H3	B0	N4	0.647667	1	12.1	14.7	2.6	21.48760331	Baja
0314 N4B0H4	B0	N4	0.01875	1	13.4	13.5	0.1	0.746268657	Baja
0314 N4B0H5	B0	N4	0.201367	4	5.2	5.3	0.1	1.923076923	Baja
0314 N4B4H1	B4	N4	0.00485	1	6.7	6.7	0	0	Baja
0314 N4B4H2	B4	N4	0.00135	1	7.4	7.4	0	0	Baja
0314 N4B4H3	B4	N4	0.001	1	8	8	0	0	Baja
0314 N4B4H4	B4	N4	0.002067	2	16.2	16.1	-0.1	-0.617283951	Baja
0314 N4B4H5	B4	N4	0.0372	4	4.9	5	0.1	2.040816327	Baja
0314 N4B1H1	B1	N4	0.002517	1	8	8	0	0	Baja
0314 N4B1H2	B1	N4	0.064233	4	4.5	4.6	0.1	2.222222222	Baja
0314 N4B1H3	B1	N4	0.0158	2	4.4	4.4	0	0	Baja
0314 N4B1H4	B1	N4	0.028883	1	4.2	4.2	0	0	Baja
0314 N4B1H5	B1	N4	9.33E-04	1	5.2	5.2	0	0	Baja
0314 N4B2H1	B2	N4	0.0046	1	10.6	10.6	0	0	Baja
0314 N4B2H2	B2	N4	0.024317	1	4.1	4.1	0	0	Baja
0314 N4B2H3	B2	N4	0.014817	1	4.7	4.7	0	0	Baja
0314 N4B2H4	B2	N4	0.06575	5	6.4	6.3	-0.1	-1.5625	Baja
0314 N4B2H5	B2	N4	0.0124	1	11.5	11.5	0	0	Baja
0315 N4B0H1	B0	N4	0.1209	2	4.7	5.1	0.4	8.510638298	Baja
0315 N4B0H2	B0	N4	1.469533	1	5.1	5.7	0.6	11.76470588	Baja
0315 N4B0H3	B0	N4	0.112067	6	4.2	5.1	0.9	21.42857143	Baja
0315 N4B0H4	B0	N4	0.02235	1	6	6.7	0.7	11.66666667	Baja
0315 N4B0H5	B0	N4	0.30705	2	5.8	7.2	1.4	24.13793103	Baja
0315 N4B1H1	B1	N4	0.05825	1	8.9	9	0.1	1.123595506	Baja
0315 N4B1H2	B1	N4	0.001033	1	8	8	0	0	Baja
0315 N4B1H3	B1	N4	0.037183	1	4.4	4.4	0	0	Baja
0315 N4B1H4	B1	N4	0.009867	1	4.9	4.9	0	0	Baja
0315 N4B1H5	B1	N4	0.002333	1	6.8	6.8	0	0	Baja
0315 N4B2H1	B2	N4	0.033017	1	8.4	8.4	0	0	Baja
0315 N4B2H2	B2	N4	0.05175	1	6.9	7	0.1	1.449275362	Baja
0315 N4B2H3	B2	N4	0.007283	2	4.8	4.8	0	0	Baja
0315 N4B2H4	B2	N4	0.015083	1	5	5	0	0	Baja
0315 N4B2H5	B2	N4	0.012733	1	4.1	4.1	0	0	Baja
0315 N4B4H1	B4	N4	0.01325	1	7.3	7.3	0	0	Baja
0315 N4B4H2	B4	N4	0.0182	1	6.7	6.8	0.1	1.492537313	Baja
0315 N4B4H3	B4	N4	0.021067	1	5.8	5.8	0	0	Baja
0315 N4B4H4	B4	N4	0.024433	2	8.1	8	-0.1	-1.234567901	Baja
0315 N4B4H5	B4	N4	0.012483	1	9.2	9.2	0	0	Baja
0315 N4B8H1	B8	N4	0.021833	1	8.3	8.3	0	0	Baja
0315 N4B8H2	B8	N4	0.057717	2	7.9	7.9	0	0	Baja
0315 N4B8H3	B8	N4	0.01065	1	5.2	5.2	0	0	Baja
0315 N4B8H4	B8	N4	0.025217	1	7.7	7.7	0	0	Baja
0315 N4B8H5	B8	N4	0.04502	1	4.1	4.1	0	0	Baja
0319 N2B0H1	B0	N2	0.237167	1	5.2	5.5	0.3	5.769230769	Baja
0319 N2B0H2	B0	N2	0.337983	2	4.4	5	0.6	13.63636364	Baja
0319 N2B0H3	B0	N2	1.009733	2	4.1	6.5	2.4	58.53658537	Baja
0319 N2B0H4	B0	N2	0.6952	1	4.7	6.2	1.5	31.91489362	Baja
0319 N2B0H5	B0	N2	1.015767	2	4	6.7	2.7	67.5	Baja
0319 N2B1H1	B1	N2	0.06165	2	4.9	5.1	0.2	4.081632653	Baja
0319 N2B1H2	B1	N2	0.051967	2	6.7	6.7	0	0	Baja
0319 N2B1H3	B1	N2	0.052133	3	6.8	6.8	0	0	Baja
0319 N2B1H4	B1	N2	0.038833	3	5.6	5.7	0.1	1.785714286	Baja
0319 N2B1H5	B1	N2	0.2242	5	5.8	6.3	0.5	8.620689655	Baja
0319 N2B2H1	B2	N2	0.020067	3	5.5	5.5	0	0	Baja
0319 N2B2H2	B2	N2	0.0026	1	5	5	0	0	Baja
0319 N2B2H3	B2	N2	0.00225	1	6	6	0	0	Baja
0319 N2B2H4	B2	N2	0.112617	3	4.2	4.5	0.3	7.142857143	Baja
0319 N2B2H5	B2	N2	0.104483	6	5.9	6	0.1	1.694915254	Baja
0319 N2B4H1	B4	N2	0.030717	3	4.1	4.1	0	0	Baja
0319 N2B4H2	B4	N2	0.0287	1	4.6	4.6	0	0	Baja
0319 N2B4H3	B4	N2	0.003483	1	4.3	4.3	0	0	Baja
0319 N2B4H4	B4	N2	0.022783	1	6	6	0	0	Baja
0319 N2B4H5	B4	N2	0.013367	2	6.2	6.2	0	0	Baja
0319 N2B8H1	B8	N2	0.02545	1	5.6	5.6	0	0	Baja
0319 N2B8H2	B8	N2	0.003233	1	5.6	5.6	0	0	Baja
0319 N2B8H3	B8	N2	0.017467	2	5.8	5.8	0	0	Baja
0319 N2B8H4	B8	N2	0.00445	2	4	4	0	0	Baja
0319 N2B8H5	B8	N2	0.0218	1	5.2	5.2	0	0	Baja
0320 N3B0H1	B0	N3	0.40195	2	5	5.7	0.7	14	Baja
0320 N3B0H2	B0	N3	0.06135	1	5.7	5.9	0.2	3.50877193	Baja
0320 N3B0H3	B0	N3	0.24675	1	6.1	6.9	0.8	13.1147541	Baja
0320 N3B0H4	B0	N3	0.0377	1	4.6	4.8	0.2	4.347826087	Baja
0320 N3B0H5	B0	N3	0.225683	1	12.8	13.2	0.4	3.125	Baja
0320 N3B1H1	B1	N3	0.003117	1	5.8	5.8	0	0	Baja
